,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,2,1,4,0,1,2,2,2,1,0,3,1,3,1,1,0,1,0,6,2,1,2,0,1,2,4,0,3,3,3,1,0,0,1,2,2,3,1,2,2,1,0,0,3,0,2,2,0,0,0,3,3,2,0,1,1,1,1,0,2,0,1,0,2,0,2,5
Tirunelveli,33,628,0,0,0,0,0,0,0,0,0,7,664,2748,2943,3785,3507,2897,2218,1556,1169,856,676,530,465,403,309,260,218,179,199,155,116,95,114,82,94,67,59,55,70,53,46,54,48,52,51,43,38,22,27,24,22,32,30,14,18,16,16,11,13,18,13,13,12,10,16,17,8,10,6,7,13,16,7,7,8,10,13,10,4,2,6,6,3,2,6,8,6,4,3,3,7,3,1,3,5,3,5,4,4,2,2
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,9,300,2052,2791,1613,895,530,333,194,129,105,46,40,31,19,18,10,8,10,4,5,7,3,3,3,1,2,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,1,625,8481,5848,2490,1481,895,599,420,287,234,154,111,87,85,48,56,38,36,24,27,18,18,13,18,9,8,7,4,4,8,4,5,8,7,5,9,7,6,3,7,6,4,4,2,3,2,1,0,4,3,1,2,2,1,2,1,1,0,2,1,0,0,1,0,0,2,2,0,2,1,0,0,0,1,0,2,0,1,0,0,0,1,2,1,1,0,0,1,0,1
West Kameng,12,246,0,0,0,0,0,0,0,0,0,147,6288,13410,2144,470,288,198,144,131,85,69,42,35,19,33,12,22,14,27,11,22,13,7,5,5,5,7,9,6,6,4,8,2,4,3,2,4,3,1,3,4,4,3,0,1,2,1,1,1,1,5,1,1,1,2,1,4,3,1,0,1,6,4,1,1,1,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,0,27,1007,1877,2425,2196,1564,1185,998,787,561,462,455,373,300,240,222,193,164,153,157,130,115,101,99,88,73,67,61,67,65,56,45,62,45,34,44,26,33,34,38,34,34,30,29,24,48,30,24,31,29,16,23,19,16,24,21,20,22,13,19,13,19,21,18,22,11,10,13,15,7,11,11,13,14,12,13,8,7,7,14,17,15,8,6,10,5,6,12,12,9
Baramula,1,8,0,0,0,0,0,0,0,0,0,3,113,1234,1736,1030,816,679,541,377,303,246,185,147,130,116,104,73,70,50,42,38,31,27,21,25,25,24,20,16,17,17,16,16,5,11,9,10,3,5,8,5,10,7,6,5,7,6,9,8,7,5,6,4,5,3,7,5,3,6,5,2,3,3,1,2,2,0,1,0,1,4,2,6,1,3,2,1,2,3,2,1,3,1,0,4,1,2,1,0,1,2,1
North Tripura,16,292,0,0,0,0,0,0,0,0,0,0,6,1456,2608,1309,852,606,435,339,242,194,183,120,94,68,66,61,46,39,29,28,38,19,12,16,7,15,10,9,9,6,7,7,4,3,3,2,2,7,4,2,1,2,1,4,2,6,1,1,3,0,3,1,0,1,1,2,2,0,1,1,2,3,2,2,0,0,1,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,0,0,10,379,2050,1314,1082,980,857,666,569,425,339,292,209,137,142,101,69,83,56,40,32,24,24,15,13,17,19,18,12,14,10,13,10,4,8,11,10,7,5,10,3,4,0,6,6,3,3,6,1,2,1,4,3,3,2,0,2,1,0,0,1,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,3,28,806,5630,3770,585,129,87,54,28,15,10,12,8,4,7,4,6,6,5,2,3,4,5,0,0,1,0,1,1,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
