,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,6,3,8,6,8,4,11,7,12,12,8,15,8,15,18,14,21,27,52,65,62,60,104
Tirunelveli,33,628,0,1,1,0,0,1,1,0,0,1,3,3,3,13,21,26,49,70,139,228,329,517,601,755,840,868,968,1114,1334,1478,1528,1602,1510,1471,1395,1259,1152,946,820,761,756,677,551,512,415,361,346,276,231,222,208,178,144,145,106,91,67,70,68,58,45,39,33,44,31,23,29,29,17,18,20,80
Udalguri,18,326,0,16,5,4,6,4,6,11,11,18,14,29,32,44,48,77,102,150,233,279,373,502,640,757,777,792,816,681,589,531,394,303,221,160,146,94,88,51,35,22,26,9,8,6,5,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,116,26,28,37,28,48,47,78,108,154,197,238,326,393,556,686,903,1145,1321,1531,1629,1634,1607,1413,1227,1066,886,764,663,518,475,388,331,282,225,178,158,135,101,100,60,56,52,50,30,32,25,22,18,17,13,19,15,10,8,7,3,6,4,2,6,0,3,0,0,0,0,0,0,0,0
West Kameng,12,246,0,88,22,29,26,36,29,68,92,112,148,170,219,333,457,636,781,1089,1392,1824,2150,2473,2767,2601,2280,1604,1004,584,274,165,86,51,36,30,17,10,6,12,7,9,8,6,2,3,2,6,0,1,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,13,4,1,9,5,9,8,14,13,20,35,45,61,66,90,115,181,155,190,202,231,271,330,367,502,613,744,837,832,794,793,844,719,702,643,592,523,535,502,496,423,387,342,341,299,278,264,207,206,201,158,169,165,151,141,109,116,92,98,99,98,95,76,80,110,124,138,91,105,78,333
Baramula,1,8,0,38,3,3,30,0,3,13,23,4,29,23,11,43,19,34,51,26,37,34,40,51,58,76,59,80,52,67,82,57,59,59,82,25,47,34,37,24,40,30,25,16,18,32,23,18,20,22,39,26,17,6,28,12,19,10,19,6,2,9,11,4,2,1,0,7,12,4,0,3,9,29
North Tripura,16,292,0,561,58,67,78,101,111,123,151,143,182,214,213,268,237,235,253,235,295,221,253,254,231,248,246,235,267,265,266,293,248,220,209,172,162,164,156,118,116,90,83,62,36,24,22,31,15,12,10,7,9,6,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,0,0,0,1,2,1,4,8,5,19,32,43,81,156,239,342,453,533,669,681,697,682,584,514,548,473,383,382,334,313,267,272,291,232,161,130,125,91,77,48,41,33,30,46,20,21,10,6,16,10,5,12,6,3,4,1,0,1,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,296,34,58,55,73,98,114,129,148,209,227,310,371,431,526,644,662,752,777,803,803,734,635,528,386,284,234,136,97,90,59,42,35,31,30,28,23,13,19,14,9,6,9,6,3,3,4,5,3,2,1,0,1,3,0,4,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
