,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,3,4,5,7,5,5,9,7,7,7,8,4,11,13,17,16,11,11,19,22,41,53,73,185
Tirunelveli,33,628,0,576,66,70,75,95,84,111,105,128,153,172,204,241,269,323,324,425,500,492,568,559,642,627,664,739,757,812,833,865,835,848,770,792,770,737,693,634,602,503,485,403,371,328,271,283,227,205,194,164,138,124,85,103,84,91,60,68,56,35,34,31,44,36,31,22,26,21,14,10,10,37
Udalguri,18,326,0,293,38,47,43,42,56,58,63,71,97,108,95,116,140,183,188,204,252,265,291,291,312,368,387,376,357,399,439,406,377,368,359,309,297,248,201,178,104,104,53,52,51,32,27,23,14,15,11,6,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,1282,115,150,156,183,177,206,232,231,276,299,261,317,351,363,398,417,434,469,440,459,530,521,541,531,576,525,565,580,555,517,516,519,523,517,463,428,375,374,319,308,269,233,195,149,158,98,83,65,54,43,34,26,28,24,15,15,13,15,6,9,6,10,3,2,2,2,0,0,0,0
West Kameng,12,246,0,4265,331,369,390,370,362,308,330,335,291,280,236,190,186,133,97,98,85,71,44,61,52,39,40,43,28,38,34,28,21,43,25,19,21,25,27,23,14,17,17,21,15,8,12,7,12,7,5,2,5,2,1,10,1,2,3,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0
Surat,24,492,0,287,24,27,34,52,49,58,52,67,73,69,83,78,116,108,95,115,129,131,181,200,224,278,284,353,406,436,453,488,510,574,570,533,495,547,547,539,514,487,480,494,471,420,396,384,338,349,299,269,296,240,222,212,191,164,160,156,136,127,117,97,114,99,91,103,110,121,108,100,93,451
Baramula,1,8,0,4,0,0,0,1,3,1,1,4,7,4,20,13,26,51,55,96,175,190,314,374,449,501,474,567,622,594,503,482,494,345,310,248,206,153,170,132,151,120,84,87,57,47,48,48,38,22,39,23,18,15,18,12,20,26,11,11,13,10,12,10,12,13,11,11,6,6,8,1,1,6
North Tripura,16,292,0,864,67,75,77,80,80,81,90,85,107,95,109,100,86,98,95,106,109,124,111,144,134,121,120,149,138,170,159,175,201,193,229,217,207,206,194,158,128,137,119,115,76,69,66,57,51,37,37,32,16,14,12,7,2,3,10,5,5,1,4,4,2,1,0,0,0,0,0,0,0,0
Kollam,32,600,0,151,20,15,19,31,22,22,24,19,36,38,30,50,45,63,64,75,85,87,102,128,170,181,222,212,235,266,272,299,327,306,295,303,294,286,266,248,275,230,238,188,162,118,96,84,89,60,53,47,38,44,40,31,20,12,13,10,14,8,6,7,2,3,1,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,2423,189,193,194,199,193,192,168,169,137,157,117,110,93,76,66,53,54,47,49,37,37,37,35,29,28,28,26,10,15,23,20,22,21,13,15,11,11,16,16,6,6,7,4,2,4,5,4,7,5,3,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,11,17,34,72,87,136,161,188,234,208,241,228,262,293,296,267,297,278,270,246,220,195,232,176,169,162,101,101,94,93,77,56,66,51,48,30,33,30,33,28,24,24,17,19,13,10,13,15,7,6,8,4,26
Ramgarh,20,361,0,71,12,6,15,8,16,10,11,16,12,23,25,14,30,25,35,30,36,35,38,48,60,57,81,74,97,93,123,128,142,150,155,156,168,185,199,205,199,186,162,183,169,172,122,165,137,140,125,113,126,104,106,87,90,87,68,80,88,68,49,67,48,39,35,34,28,23,27,29,19,69
Mirzapur,9,199,0,1215,128,112,136,182,149,164,173,218,223,217,266,289,287,313,330,336,377,378,470,478,568,547,522,487,526,501,545,529,517,440,428,386,395,357,318,309,254,258,239,218,199,165,147,119,126,97,80,59,47,31,30,30,24,31,16,16,16,15,15,12,9,5,13,9,10,8,5,6,11,32
Ghazipur,9,195,0,82,10,18,18,20,21,32,41,46,59,61,85,77,112,126,169,178,176,202,221,247,280,312,343,417,433,511,617,651,703,812,794,830,830,817,766,721,606,592,402,327,289,190,124,103,86,68,65,49,39,38,30,36,20,15,16,12,12,9,6,6,11,6,7,7,4,9,0,1,3,0
Bikaner,8,101,0,15415,2281,2509,2751,3249,3583,4205,4581,5079,5296,5433,5818,5574,5379,5082,4698,4228,3773,3437,3020,2817,2534,2400,2298,2204,2023,1746,1647,1504,1399,1284,1257,1137,948,865,795,722,628,580,512,468,402,383,369,322,291,244,240,204,186,175,160,138,140,96,103,117,74,74,48,77,53,47,41,48,38,46,40,33,31,147
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,2,2,1,3,3,5,1,2,2,2,2,3,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,29,29,13,12,13,10,18,11,12,21,13,17,24,19,26,25,24,25,34,33,44,46,33,597
Tiruvannamalai,33,606,0,443,34,43,55,55,66,84,100,103,112,130,144,159,198,202,248,262,263,348,335,452,476,500,553,664,711,743,910,918,966,970,1082,1024,1022,1022,924,880,803,690,579,504,430,337,286,240,186,139,100,78,69,66,58,38,39,34,19,20,22,16,15,15,9,13,9,5,1,4,8,3,4,22
Udupi,29,569,0,725,71,77,68,89,95,110,93,102,115,152,133,132,146,126,154,157,150,180,144,150,151,153,159,156,144,136,159,151,122,136,149,132,117,109,122,90,79,62,65,61,42,48,42,43,48,36,31,32,28,44,23,21,19,14,17,20,17,12,14,12,9,6,5,6,6,1,4,6,4,8
Bellary,29,565,0,2147,193,225,274,279,313,349,341,387,384,453,513,559,560,565,627,677,717,657,661,692,665,625,720,703,598,607,606,586,591,546,537,518,477,441,500,456,390,407,387,374,337,339,296,332,296,272,228,239,206,189,180,136,150,130,115,114,85,83,67,76,57,63,44,42,31,31,27,30,26,191
Agra,9,146,0,71,5,12,21,15,23,31,41,51,63,78,91,133,124,125,158,156,184,197,199,231,254,274,333,401,413,469,493,571,583,619,621,599,619,648,710,699,659,672,619,594,550,533,468,421,355,287,263,240,217,173,146,123,138,96,90,78,72,72,68,54,58,43,58,49,47,52,56,46,65,369
Jamui,10,238,0,1202,85,98,99,87,93,115,88,108,93,100,104,97,96,85,81,85,78,88,70,71,70,47,57,48,60,42,42,22,26,41,30,26,20,18,17,13,16,12,12,6,4,9,5,5,4,7,8,3,5,0,1,4,4,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Harda,23,448,0,884,101,110,125,120,146,179,182,212,239,226,255,295,286,326,274,305,311,313,314,351,349,305,287,289,272,244,267,216,228,205,166,154,129,135,96,73,57,79,70,51,45,33,34,28,28,26,24,25,11,29,9,17,19,4,11,7,10,12,6,1,3,5,7,3,4,1,1,3,2,8
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,34,61,113,185,260,373,431,471,538,469,453,374,408,369,454,362,365,324,308,273,269,257,226,219,212,205,195,165,142,143,129,103,118,99,78,100,79,66,44,65,43,52,46,41,35,34,39,22,13,21
Gondiya,27,507,0,1339,128,141,145,190,163,188,178,235,255,252,290,308,314,335,349,332,336,395,379,447,412,403,429,397,437,394,366,389,362,282,291,270,280,247,201,193,136,117,117,105,110,93,89,61,63,68,40,38,31,36,24,29,23,11,10,12,14,17,18,7,11,4,10,6,7,3,4,2,6,30
