distName,st_cen_cd,censuscode,SOL_14,SOL_15,SOL_16,SOL_17,SOL_18
Chandigarh,4,55,12220.094,12104.055,11508.678,11509.359,11805.1
Tirunelveli,33,628,20132.443,20346.75,18747.885,23261.998,25560.402
Udalguri,18,326,6764.5303,7406.423,6593.054,7548.9897,8072.56
Washim,27,502,9162.639,11233.652,8430.15,13341.69,11511.609
West Kameng,12,246,3256.458,4188.715,-82.26518,3791.6199,3233.96
Surat,24,492,57627.285,59726.793,54892.5,62336.24,68655.266
Baramula,1,8,6278.082,5631.3594,4409.032,6444.54,6017.28
North Tripura,16,292,5264.6196,4646.645,3852.4675,5215.6396,5877.76
Kollam,32,600,4982.1143,6179.0864,5697.2617,8938.641,9517.03
Lower Subansiri,12,255,1611.8367,2457.6228,502.88654,2221.52,1958.7899
Palwal,6,89,14807.187,12063.045,8540.446,13035.7705,14842.75
Ramgarh,20,361,14850.041,14893.523,14259.895,15508.861,15732.03
Mirzapur,9,199,11255.978,14783.221,13805.073,22715.342,23818.078
Ghazipur,9,195,12425.562,15773.506,16846.742,25643.84,25074.22
Bikaner,8,101,60922.15,64155.91,34344.133,58966.465,63986.79
Mahe,34,636,55.883865,68.54874,82.28386,90.229996,64.759995
South,11,243,2378.667,2015.7119,1810.6024,2099.69,2033.1201
Tiruvannamalai,33,606,10911.304,11208.696,11079.779,15153.989,15150.54
Udupi,29,569,3950.545,5769.9165,4308.601,7774.3,7549.7505
Bellary,29,565,30073.41,37496.76,29437.758,40705.258,41360.867
Agra,9,146,49335.504,54961.84,48688.74,52644.887,52254.76
Jamui,10,238,4578.873,5652.1895,4645.51,8477.67,12170.51
Harda,23,448,3861.0686,5347.138,3792.1782,6736.0596,7096.29
Sonipat,6,76,28011.559,23543.178,17274.668,19282.46,22116.611
Gondiya,27,507,7467.6914,8496.702,5530.291,10624.09,8714.81
Hailakandi,18,318,2340.6409,2177.6045,1408.9807,2316.42,2566.8
Churachandpur,14,274,1484.4766,2359.3486,310.90817,3947.88,3692.2998
Bhopal,23,444,26004.193,28778.715,27593.092,28882.17,34474.297
Panchkula,6,69,9387.557,9599.167,8482.336,9147.69,10162.91
Sonbhadra,9,200,18685.541,20102.688,14646.639,24071.12,24656.23
Jhalawar,8,129,21866.242,25707.51,18330.12,19316.15,22863.29
South,7,98,34672.477,34983.57,28376.06,28480.242,29385.041
Mahendragarh,6,84,13384.558,12368.655,7575.62,10176.72,11192.04
Sawai Madhopur,8,108,21231.41,24798.182,13722.307,13383.9,18733.99
Shimla,2,33,8378.887,8294.872,5838.568,8741.83,7825.54
