,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,4,0,0,1,0,1,4,2,2,2,0,1,0,1,4,3,0,1,1,0,1,3,2,0,3,0,3,3,0,1,1,2,1,2,1,1,2,0,1,1,2,1,1,3,0,3,2,2,3,1,1,2,0,2,0,1,2,0,1,3,2,2,1,1,1,1,2,3,0,0,0,0
Tirunelveli,33,628,0,0,0,0,0,0,0,0,3,268,1022,1850,2487,2401,1666,958,560,364,206,200,146,85,70,20,34,20,25,13,16,9,1,8,18,5,2,3,6,3,3,8,10,3,5,3,0,0,0,0,4,5,3,8,1,2,4,5,0,1,5,4,6,2,3,4,0,0,2,1,4,3,6,0,3,8,0,0,9,0,4,4,7,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,1,589,1693,1717,1427,1117,767,517,378,293,168,119,81,67,31,31,16,21,17,14,13,15,7,5,7,9,5,4,6,6,4,1,3,6,2,5,0,2,0,2,0,1,1,0,0,2,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,124,9093,7256,2411,1185,617,407,260,178,132,114,77,48,51,27,34,24,19,14,14,14,17,12,9,7,10,7,9,7,3,5,3,2,5,4,4,3,3,3,4,5,2,3,3,0,0,2,1,1,2,2,1,1,0,1,1,1,0,2,1,1,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0
West Kameng,12,246,0,0,0,0,0,0,0,0,0,1,375,17627,4999,319,122,63,49,35,32,15,23,12,20,7,6,6,13,4,7,7,3,9,6,6,4,5,0,3,0,3,2,5,1,0,1,3,4,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,18,994,2325,2767,2107,1636,1179,1013,789,613,469,337,307,246,201,178,139,134,149,121,120,94,82,82,75,74,68,62,71,48,56,43,52,36,33,42,33,31,29,29,23,33,26,27,27,25,27,22,18,22,18,22,15,11,24,17,23,18,18,13,16,14,18,15,21,15,15,12,7,17,10,16,10,12,14,13,10,8,12,11,10,10,15,11,7,8,14,10,12,18,13
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,0,11,832,1962,1413,936,677,473,396,292,224,169,120,125,81,77,72,48,65,56,45,37,31,16,20,16,17,18,11,12,12,11,10,8,4,5,10,7,8,15,7,5,8,2,8,9,5,3,5,7,5,2,2,6,3,7,4,6,7,3,3,3,6,4,7,4,2,3,4,2,3,4,6,1,4,2,0,0,3,0,2,1,2,3,1,1,2,2,2,2,0
North Tripura,16,292,0,0,0,0,0,0,0,0,0,1,443,3333,1453,756,580,408,372,268,223,167,137,115,93,83,66,43,42,43,37,35,30,18,27,21,17,15,7,11,9,9,14,4,13,8,3,5,2,4,4,3,4,3,5,7,2,2,1,2,2,0,0,1,2,1,3,3,1,0,2,1,3,0,3,2,1,1,0,1,0,0,2,1,0,1,0,0,2,1,1,0,1,0,2,0,0,0,0,0,1,3,0
Kollam,32,600,0,0,0,0,0,0,0,0,0,98,369,90,45,3,3,6,2,4,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,0,0,123,8782,1750,172,83,58,46,30,29,20,19,17,11,9,9,3,4,3,5,3,4,1,5,2,6,1,1,0,1,2,2,1,1,0,1,0,2,3,0,1,2,2,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
