State,District,Name,sureDoubtfulNegativeMaskSum,unsureDoubtfulMaskSum,slopePositive,slopeNegative,stderrSum,stderrMedian,stderrMean,confidentForPositive
23,439,Indore,0,0,5,0,0.6109135225,0.09926023653,0.1018189204,1
12,257,Dibang Valley,4,0,0,4,0.5094356675,0.09780654851,0.08490594458,1
8,109,Dausa,1,1,2,2,0.4512992721,0.09532414633,0.07521654534,1
9,172,Fatehpur,3,2,0,5,0.7475322449,0.09532414633,0.1245887075,1
9,196,Chandauli,1,2,1,3,0.5674968978,0.09532414633,0.0945828163,1
13,262,Mokokchung,0,2,2,2,0.6712690967,0.09532414633,0.1118781828,1
19,328,Jalpaiguri,2,1,1,2,0.4936186243,0.09532414633,0.08226977072,1
19,335,Barddhaman,0,1,5,0,0.5090718983,0.09532414633,0.08484531639,1
19,344,Paschim Medinipur,1,1,5,1,0.606860864,0.09532414633,0.1011434773,1
24,491,Valsad,1,2,2,2,0.6069876582,0.09532414633,0.1011646097,1
13,269,Kiphire,3,1,0,4,0.6243869336,0.09469155332,0.1040644889,1
15,285,Serchhip,1,2,2,2,0.7294763211,0.09469155332,0.1215793868,1
21,381,Cuttack,3,0,1,3,0.5397913165,0.09469155332,0.08996521941,1
1,7,Kathua,0,3,2,1,0.7071035504,0.09404008409,0.1178505917,1
21,388,Ganjam,4,1,0,5,0.4786145679,0.09381335782,0.07976909464,1
14,274,Churachandpur,2,1,1,3,0.5624245045,0.09277073855,0.09373741741,1
6,85,Rewari,2,0,3,2,0.5203799275,0.09140908472,0.08672998792,1
18,304,Morigaon,1,1,3,1,0.5938676968,0.09140908472,0.09897794946,1
19,339,Bankura,0,1,4,0,0.434073521,0.09140908472,0.07234558684,1
20,346,Garhwa,1,1,2,2,0.4838368481,0.09140908472,0.08063947468,1
20,347,Chatra,2,1,1,3,0.5657561606,0.09140908472,0.09429269343,1
20,359,Latehar,1,1,2,2,0.4994970945,0.09140908472,0.08324951576,1
20,360,Hazaribagh,1,2,4,1,0.6309331182,0.09140908472,0.1051555197,1
21,373,Debagarh,2,2,0,4,0.5998366541,0.09140908472,0.09997277568,1
21,389,Gajapati,2,2,0,3,0.6909597762,0.09140908472,0.1151599627,1
22,416,Dakshin Bastar Dantewada,3,1,0,4,0.5143740148,0.09140908472,0.08572900246,1
33,623,Madurai,1,2,3,1,0.6694476731,0.09140908472,0.1115746122,1
28,542,Srikakulam,2,1,1,3,0.4209043403,0.08885567694,0.07015072338,1
12,249,Upper Subansiri,4,0,0,4,0.4532006646,0.08641470009,0.0755334441,1
33,625,Virudhunagar,2,1,2,2,0.5432155669,0.08641470009,0.09053592782,1
15,281,Mamit,3,1,0,4,0.6410507071,0.08516249039,0.1068417845,1
33,617,Cuddalore,1,2,2,1,0.7050053696,0.08329931278,0.1175008949,1
33,620,Thanjavur,1,2,1,2,0.6280168591,0.08247860988,0.1046694765,1
6,81,Bhiwani,1,0,3,1,0.4486566035,0.08247860988,0.07477610058,1
8,99,Ganganagar,1,0,3,1,0.4456667952,0.08247860988,0.0742777992,1
8,115,Barmer,3,1,0,4,0.5418058249,0.08247860988,0.09030097081,1
8,118,Pali,2,0,2,2,0.4302539991,0.08247860988,0.07170899985,1
8,124,Dungarpur,4,0,0,4,0.4399513658,0.08247860988,0.07332522764,1
8,127,Kota,1,0,3,1,0.469885282,0.08247860988,0.07831421366,1
8,130,Udaipur,3,0,1,3,0.3824591333,0.08247860988,0.06374318888,1
17,295,South Garo Hills,3,1,0,4,0.5870868691,0.08247860988,0.09784781152,1
17,298,East Khasi Hills,0,1,3,1,0.5273775145,0.08247860988,0.08789625242,1
18,306,Sonitpur,3,0,1,3,0.3722012761,0.08247860988,0.06203354601,1
18,309,Tinsukia,1,1,2,2,0.5022927962,0.08247860988,0.08371546603,1
22,404,Korba,3,1,0,3,0.3854489415,0.08247860988,0.06424149025,1
22,405,Janjgir - Champa,2,1,2,2,0.5322349644,0.08247860988,0.08870582741,1
22,411,Mahasamund,2,1,1,3,0.5281250591,0.08247860988,0.08802084318,1
